Ne;s;h;p0;attempts
10;0;0.5;0.05;10000
10;0.001;0.5;0.05;10000
10;0.01;0.5;0.05;10000
10;0.1;0.5;0.05;10000
10;0.5;0.5;0.05;10000
10;0;0.5;0.5;10000
10;0.001;0.5;0.5;10000
10;0.01;0.5;0.5;10000
10;0.1;0.5;0.5;10000
10;0.5;0.5;0.5;10000
100;0;0.5;0.005;100000
100;0.001;0.5;0.005;100000
100;0.01;0.5;0.005;100000
100;0.1;0.5;0.005;100000
100;0.5;0.5;0.005;100000
100;0;0.5;0.5;100000
100;0.001;0.5;0.5;100000
100;0.01;0.5;0.5;100000
100;0.1;0.5;0.5;100000
100;0.5;0.5;0.5;100000
1000;0;0.5;0.0005;100000
1000;0.001;0.5;0.0005;100000
1000;0.01;0.5;0.0005;100000
1000;0.1;0.5;0.0005;100000
1000;0.5;0.5;0.0005;100000
1000;0;0.5;0.5;100000
1000;0.001;0.5;0.5;100000
1000;0.01;0.5;0.5;100000
1000;0.1;0.5;0.5;100000
1000;0.5;0.5;0.5;100000

10;0;0.2;0.05;10000
10;0.001;0.7;0.05;10000
10;0.01;0.6;0.05;10000
10;0.1;0.2;0.05;10000
10;0.5;0.3;0.05;10000
10;0;0.9;0.5;10000
10;0.001;0.2;0.5;10000
10;0.01;0.2;0.5;10000
10;0.1;0.2;0.5;10000
10;0.5;0.4;0.5;10000
100;0;0.4;0.005;100000
100;0.001;0.4;0.005;100000
100;0.01;0.8;0.005;100000
100;0.1;0.8;0.005;100000
100;0.5;0.8;0.005;100000
100;0;0.2;0.5;100000
100;0.001;0.2;0.5;100000
100;0.01;0.4;0.5;100000
100;0.1;0.4;0.5;100000
100;0.5;0.7;0.5;100000
1000;0;0.7;0.0005;100000
1000;0.001;0.6;0.0005;100000
1000;0.01;0.4;0.0005;100000
1000;0.1;0.3;0.0005;100000
1000;0.5;0.3;0.0005;100000
1000;0;0.7;0.5;100000
1000;0.001;0.8;0.5;100000
1000;0.01;0.7;0.5;100000
1000;0.1;0.4;0.5;100000
1000;0.5;0.3;0.5;100000
